Div,Date,Season,HomeTeam,AwayTeam,FTR,H_roll_GF,H_roll_GA,H_roll_Pts,H_roll_Win,H_roll_Shots,H_roll_ShotsT,H_roll_Corners,H_roll_Fouls,H_season_pts,H_season_gf,H_season_ga,H_season_games,H_season_gd,H_season_ppg,H_rank,A_roll_GF,A_roll_GA,A_roll_Pts,A_roll_Win,A_roll_Shots,A_roll_ShotsT,A_roll_Corners,A_roll_Fouls,A_season_pts,A_season_gf,A_season_ga,A_season_games,A_season_gd,A_season_ppg,A_rank,ref_cards_avg,ref_reds_avg,ref_fouls_avg,ref_games,mkt_prob_H,mkt_prob_D,mkt_prob_A,mkt_prob_max,odds_move_H,odds_move_D,odds_move_A,close_vol,close_avg_h,open_avg_h,close_max_h,y,H_xG,H_xGA,H_npxG,H_npxGA,H_ppda_coef,H_deep,H_xpts,A_xG,A_xGA,A_npxG,A_npxGA,A_ppda_coef,A_deep,A_xpts,xg_diff_roll
F1,2019-08-09,2019,Monaco,Lyon,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.2676137454405836,0.2754847379535419,0.4569015166058745,0.4569015166058745,0.5,0.1,-0.3200000000000003,0.1944038506379365,3.3125,2.89,3.5,2,,,,,,,,,,,,,,,
E0,2019-08-09,2019,Liverpool,Norwich,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.8515815085158152,0.1021897810218978,0.0462287104622871,0.8515815085158152,0.0,-0.5,2.0,0.0141421356237308,1.14,1.14,1.16,0,,,,,,,,,,,,,,,
E0,2019-08-10,2019,Bournemouth,Sheffield United,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.5021812893843917,0.2646631119728549,0.2331555986427532,0.5021812893843917,0.0,0.1,0.6000000000000001,0.0271240536372107,1.9825,2.01,2.03,1,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Angers,Bordeaux,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.4586948321388156,0.2938513768389287,0.2474537910222557,0.4586948321388156,-0.3200000000000003,0.1,0.5999999999999996,0.1225910740167139,2.115,2.35,2.4,0,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Marseille,Reims,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.5666037106988112,0.2766359293411843,0.1567603599600044,0.5666037106988112,0.0,-0.1,0.0,0.0506916448455054,1.72375,1.65,1.8,2,,,,,,,,,,,,,,,
E0,2019-08-10,2019,Tottenham,Aston Villa,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.7151112395261485,0.1768275065010112,0.1080612539728402,0.7151112395261485,0.06,0.25,-1.0,0.0403334317196752,1.35625,1.3,1.4,0,,,,,,,,,,,,,,,
E0,2019-08-10,2019,Watford,Brighton,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.4659498207885305,0.3010752688172043,0.2329749103942652,0.4659498207885305,0.2000000000000001,-0.1499999999999999,0.2000000000000001,0.0646832943767443,2.07125,1.94,2.15,2,,,,,,,,,,,,,,,
E0,2019-08-10,2019,Crystal Palace,Everton,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.2871467639015497,0.2789425706472197,0.4339106654512306,0.4339106654512306,0.3999999999999999,0.25,-0.1200000000000001,0.1030863022631314,3.36625,3.13,3.55,1,,,,,,,,,,,,,,,
E0,2019-08-10,2019,Burnley,Southampton,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.3620822128313484,0.3008067614291203,0.3371110257395314,0.3620822128313484,0.08,0.0499999999999998,0.1499999999999999,0.0448608961123159,2.66875,2.68,2.72,0,,,,,,,,,,,,,,,
E0,2019-08-10,2019,West Ham,Man City,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.0812064965197215,0.1392111368909512,0.7795823665893272,0.7795823665893272,0.0,0.5,0.03,0.734252535381585,11.53125,11.84,13.0,2,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Brest,Toulouse,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.4689603590127151,0.2842183994016455,0.2468212415856395,0.4689603590127151,-0.3700000000000001,0.0999999999999996,0.6999999999999997,0.1110260587172476,2.12125,2.38,2.38,1,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Nice,Amiens,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.4255319148936171,0.3191489361702128,0.2553191489361702,0.4255319148936171,0.0499999999999998,0.0,-0.0499999999999998,0.068243262357121,2.3,2.18,2.38,0,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Montpellier,Rennes,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.4317656129529684,0.2968388589051658,0.2713955281418658,0.4317656129529684,-0.0499999999999998,0.1,0.0,0.0533853912601564,2.2625,2.3,2.36,2,,,,,,,,,,,,,,,
F1,2019-08-10,2019,Dijon,St Etienne,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.2489019033674963,0.2781844802342606,0.472913616398243,0.472913616398243,-0.2000000000000001,0.1999999999999997,-0.0499999999999998,0.0881455776380349,3.78625,3.57,3.92,2,,,,,,,,,,,,,,,
F1,2019-08-11,2019,Strasbourg,Metz,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.4276704769412692,0.303508080409933,0.2688214426487977,0.4276704769412692,0.1500000000000003,-0.1,-0.5,0.0998570406702931,2.225,2.05,2.35,1,,,,,,,,,,,,,,,
E0,2019-08-11,2019,Man United,Chelsea,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.4765957446808511,0.2791489361702127,0.2442553191489361,0.4765957446808511,-0.0500000000000002,0.2000000000000001,0.5,0.0871370021452262,2.0925,2.19,2.25,0,,,,,,,,,,,,,,,
F1,2019-08-11,2019,Paris SG,Nimes,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.8817025981205084,0.0857656163626312,0.0325317855168601,0.8817025981205084,-0.03,1.0,6.0,0.0172688820053379,1.08125,1.1,1.1,0,,,,,,,,,,,,,,,
E0,2019-08-11,2019,Leicester,Wolves,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.4055587067498582,0.2994895065229722,0.2949517867271696,0.4055587067498582,0.1999999999999997,0.0499999999999998,-0.1,0.0964272486681761,2.40125,2.22,2.55,1,,,,,,,,,,,,,,,
E0,2019-08-11,2019,Newcastle,Arsenal,A,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0.0,0.2865412445730825,0.2706222865412446,0.4428364688856729,0.4428364688856729,-1.1,-0.1499999999999999,0.4800000000000002,0.4462842623901752,3.5662499999999997,4.49,4.6,2,,,,,,,,,,,,,,,
F1,2019-08-11,2019,Lille,Nantes,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.40822528363047,0.3028768233387358,0.2888978930307941,0.40822528363047,0.3499999999999998,-0.1999999999999997,-0.9500000000000002,0.1496125949625517,2.30125,1.95,2.42,0,,,,,,,,,,,,,,,
F1,2019-08-16,2019,Lyon,Angers,H,3.0,0.0,3.0,1.0,13.0,3.0,5.0,17.0,3,3,0,1,3,3.0,1.0,3.0,1.0,3.0,1.0,14.0,4.0,4.0,11.0,3,3,1,1,2,3.0,4.0,,,,,0.6485017704889973,0.2171657199097104,0.1343325096012922,0.6485017704889973,-0.05,0.0,1.0,0.0315096357144468,1.4875,1.5,1.53,0,0.833034,0.563183,0.833034,0.563183,8.642857142857142,2.0,1.5715,1.52399,1.29511,1.52399,1.29511,9.5,4.0,1.5159,-0.6909559999999999
D1,2019-08-16,2019,Bayern Munich,Hertha,D,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.8206811653672549,0.1169470660648338,0.0623717685679113,0.8206811653672549,0.0,0.0,0.0,0.0375832409459323,1.19125,1.18,1.25,1,,,,,,,,,,,,,,,
SP1,2019-08-16,2019,Ath Bilbao,Barcelona,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.1797462911201892,0.2483336916792087,0.571920017200602,0.571920017200602,0.0,0.0,0.0,0.3368339989626089,5.09,5.07,5.8,0,,,,,,,,,,,,,,,
SP1,2019-08-17,2019,Mallorca,Eibar,H,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,0.330866700456158,0.2967460719716168,0.372387227572225,0.372387227572225,0.0700000000000002,0.0,-0.0500000000000002,0.0540997755474614,2.94875,2.91,3.05,0,,,,,,,,,,,,,,,
