idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
0,0,5,0.7365999999999999,0.1558,0.1076,0.9905,0.25821000000000005,1.5,1.29,6.25,9.0
1,0,5,0.68,0.20060000000000003,0.11939999999999999,0.9994,0.12818,0.5,1.4,4.75,8.0
2,2,5,0.34400000000000003,0.294,0.362,0.96,0.4172,1.5,2.45,3.2,3.1
3,0,5,0.22999999999999998,0.258,0.5120000000000001,0.984,0.42987753201232304,2.032516880082154,3.9,3.6,1.91
4,0,5,0.604957042957043,0.2407032967032967,0.15433966033966035,0.9938181818181818,0.30987172827172826,1.5,1.55,3.9,6.25
5,2,5,0.1,0.1704,0.7296,0.9992,0.4084,2.5,9.5,5.5,1.3
6,0,5,0.7788,0.1356,0.08560000000000001,0.9954,0.23986000000000002,1.5,1.22,7.0,11.0
7,0,5,0.4446,0.3056,0.24980000000000002,0.9866,0.33867999999999987,1.2499999999999991,2.1,3.1,3.9
8,2,5,0.37960000000000005,0.2796,0.34080000000000005,0.9984,0.40605940788397554,1.5494627192265038,2.5,3.4,2.75
9,1,5,0.376,0.28,0.34400000000000003,0.994,0.4014,1.5,2.45,3.4,2.8
10,1,5,0.546,0.248,0.20600000000000002,0.986,0.3358,1.5,1.8,3.7,4.33
11,0,5,0.28,0.29819999999999997,0.4218,0.9982,0.3879099984804138,1.540599989869425,3.4,3.2,2.25
12,2,5,0.52,0.266,0.21400000000000002,0.978,0.3486,1.5,1.91,3.4,4.1
13,2,5,0.158,0.22600000000000003,0.616,0.988,0.3672,1.9,6.25,4.2,1.53
14,1,5,0.40800000000000003,0.304,0.28800000000000003,0.984,0.3916,1.5,2.45,3.0,3.2
15,1,5,0.362,0.294,0.344,0.981,0.4459318423473514,1.733545615649009,2.45,3.2,3.0
16,2,5,0.255,0.257,0.488,0.9925,0.45613965155872027,2.1605976770581354,3.8,3.7,1.91
17,0,5,0.466,0.274,0.26,0.975,0.3940583198341286,1.6530554655608571,1.9,3.5,4.2
18,1,5,0.5332000000000001,0.2492,0.21760000000000002,0.9904,0.3396,1.5,1.8,3.75,4.33
19,0,5,0.3088,0.2888,0.4024,0.9944,0.4417854031893572,1.8404360212623811,3.1,3.25,2.35
20,0,5,0.1688,0.2392,0.5919999999999999,0.989,0.4665,2.5,5.5,3.9,1.62
